N_LINHA,N_CATEGORIA,N_PRODUTO,QTD_ITEM,V_VENDA,V_CUSTO_VENDA,V_PERC_MARGEM_T,CLASSIFICACAO
1,1,2,5520.0,12019.2,260.0,0.441,EB
1,1,2,696.0,1602.96,2.3,0.4553,EB
1,2,4,852.0,7546.68,260.0,0.45,EB
1,1,1,12.0,600.0,2.3,0.9079999999999999,DB
1,1,3,9.0,278.52,2.3,0.9094,DB
1,2,4,31.0,750.0,2.3,0.8863,DB
1,1,2,1100.0,10206.0,260.0,0.6502,AB
1,3,4,184.0,1527.5,2.3,0.665,CB
1,1,2,20.0,1856.48,2.3,0.6631,CB
1,1,1,48.0,249.6,2.3,0.8306,DB
1,1,1,4992.0,8536.32,260.0,0.4621,EB
2,3,8,90.0,894.96,2.3,0.5798,DA
2,2,5,231.0,1756.2,2.3,0.6149,CB
1,1,1,8.0,1589.92,2.3,0.6456,CB
2,2,4,336.0,1935.6,2.3,0.5932,CB
1,1,1,3000.0,15750.0,260.0,0.1871,FB
1,1,2,720.0,2032.8,2.3,0.5274,CB
1,1,1,240.0,717.6,2.3,0.2009,FA
1,1,1,14.0,307.86,2.3,0.5789,DB
1,1,2,26.0,659.74,2.3,0.6178,DB
1,1,1,200.0,1798.0,2.3,0.6308,CB
3,4,7,32.0,354.73,2.3,0.6621,DA
5,7,15,74.0,801.87,2.3,0.6708,DA
1,1,1,510.0,2295.0,2.3,0.6801,CB
2,2,3,1010.0,2735.4,60.0,0.4751,EB
1,1,1,1008.0,9565.92,260.0,0.1816,FB
1,1,1,90.0,405.0,2.3,0.6754,DB
1,2,2,148.0,1635.16,2.3,0.7021,CB
1,1,1,200.0,1836.0,2.3,0.6817,CB
1,1,2,336.0,2537.76,2.3,0.6111,BB
1,1,2,330.0,1845.0,2.3,0.7064,CB
1,2,3,152.0,1790.16,2.3,0.6277,CB
1,1,1,420.0,1890.0,2.3,0.6799,CB
2,1,6,111.0,1782.12,2.3,0.795,CB
2,2,4,2040.0,5840.4,60.0,0.5586,AB
1,2,5,286.0,4477.32,60.0,0.6454,BB
1,1,1,150.0,1777.5,2.3,0.6801,CB
2,2,8,440.0,5831.0,60.0,0.6298,AB
1,2,7,16.0,445.06,2.3,0.7032,DB
1,1,2,150.0,945.0,2.3,0.7175,DB
1,1,2,180.0,1080.0,2.3,0.7129,DB
1,1,1,1000.0,2990.0,60.0,0.1842,FB
1,1,2,160.0,4087.4,60.0,0.5705,BB
1,1,2,1200.0,2988.0,60.0,0.5198,BB
1,1,1,6896.0,20619.04,1280.0,0.1422,FB
1,1,1,1000.0,4500.0,60.0,0.0576,FB
1,2,2,106.0,1528.94,2.3,0.6664,CB
1,2,4,108.0,1976.0,2.3,0.6798,CB
1,1,2,6120.0,14493.6,260.0,0.48100000000000004,EB
2,5,6,46.0,1663.6,2.3,0.6567,CA
1,1,1,240.0,1581.6,2.3,0.6765,CB
1,3,5,190.0,1797.54,2.3,0.6724,CB
1,2,3,924.0,5411.16,60.0,0.5671,AB
1,2,4,216.0,1885.8,2.3,0.363,EB
2,2,3,50.0,2634.1,2.3,0.6131,BB
1,2,2,132.0,3785.52,60.0,0.662,BB
1,3,3,168.0,2232.9,2.3,0.6779,CB
1,1,1,1008.0,8971.2,260.0,0.2113,FB
1,1,1,100.0,790.0,2.3,0.1794,FA
2,2,3,3384.0,1631.76,2.3,0.4232,EB
1,1,2,11000.0,2640.0,2.3,0.3323,EB
2,3,4,396.0,3298.08,60.0,0.6652,BB
4,6,11,27.0,406.81,2.3,0.7738,DA
2,2,2,68.0,941.18,2.3,0.6742,DB
1,3,4,232.0,1779.08,2.3,0.6214,CB
1,1,1,120.0,1668.0,2.3,0.7213,CB
1,1,3,198.0,5143.84,60.0,0.6761,AB
4,7,11,3148.0,30412.72,1280.0,0.5869,AA
2,1,7,525.0,5830.26,60.0,0.6314,AB
